file_name,current_role,future_role,action,reason,risk,dependency_score,integration_target
09_telemetry/README.md,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
09_telemetry/bus/normalizer/normalizer.go,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
09_telemetry/bus/normalizer/normalizer_test.go,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
09_telemetry/collectors/file_metadata/file.go,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
09_telemetry/collectors/process_exec/process.go,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
09_telemetry/go.mod,Telemetry,Core telemetry,KEEP,Telemetry foundation,Low,10,09_telemetry
07_security/README.md,Security,Security engines,KEEP,Core security modules,Low,9,07_security
07_security/detections/rename_detector_rule.yml,Security,Security engines,KEEP,Core security modules,Low,9,07_security
05_tools/README.md,Tools,Tooling,KEEP,Required tooling & benchmarks,Low,7,05_tools
05_tools/math_reference/index.html,Tools,Tooling,KEEP,Required tooling & benchmarks,Low,7,05_tools
02_docs/rfc/RFC-001B_anomaly_logic.md,RFC fragment,Merge into RFC-001,MERGE,Consolidate telemetry math into RFC-001,Low,6,02_docs/rfc/RFC-001_telemetry_schema.md
02_docs/rfc/RFC-001C_entropy_engine.md,RFC fragment,Merge into RFC-001,MERGE,Consolidate entropy logic into RFC-001,Low,6,02_docs/rfc/RFC-001_telemetry_schema.md
14_experiments/R-001-ebpf-bench/README.md,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/report_generator.py,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/results/20260521_152938/benchmark.log,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/results/20260521_152938/hashes.sha256,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/results/20260521_152938/raw_events.json,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/results/20260521_152938/report.md,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/results/20260521_152938/summary.json,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/R-001-ebpf-bench/run_benchmark.sh,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/README.md,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/benchmarks/ebpf_performance/README.md,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/benchmarks/ebpf_performance/benchmark_runner.py,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
14_experiments/benchmarks/ebpf_performance/io_stress.sh,Experiments,Standardize experiments,MOVE,Standardize experiment layout under R###,Low,6,14_experiments
